Respondents,Gender,Age,Race,Years of experience,Occupation,Section ,Section category,Question ,Answer,polarity_score,polarity
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is adoption of diof digital technology by organization use of technology in learning and teaching.,0.0,neu
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Digital transformation refers to conducting teaching and learning over the phone to limited human interaction.,-0.023809523809523808,neg
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Changing the world by transforming the use of digital technology in our everyday lives.,-0.1,neg
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",I understand that digital tansformation is the innovation of technology to evolve value of a place.,0.0,neu
Respondent 13,Female,29,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is the intergration of digital technology to enhance already existing procedures in business/ schools.,0.0,neu
Respondent 14,Female,48,African,20,Deputy Princal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","This is the change from the manual use of things to a more artificial and computerized way of doing doing things, such as e-books instead of paper.",-0.033333333333333326,neg
Respondent 15,Female,40,African,12,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",When traditional teaching is being transformed to digital teaching -ICT plays a major role where learners are learning through visauls and also computer is used through learning.,0.020833333333333332,pos
Respondent 16,Female,37,African,15,Teacher-HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Is the use of technological devices in the workplace.,0.0,neu
Respondent 17,Male,30,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","Digital transformation is the process of reviving certain things, using technology.",0.10714285714285714,pos
Respondent 18,,,,,,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","Is a technical reformation to form more advanced technical processes in order to create new business techniques, cultures and customer desires which will meet what a business and market requires.",0.20727272727272728,pos
Respondent 2,Male ,46+,African,18+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",This is using technology in teching.,0.0,neu
Respondent 3,Male,41,African,12,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",The shift towards the use of computing devices in the education system. ,0.0,neu
Respondent 4,Male,47,African,19,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Changing how workflows are done becoming more reliant on the digital rather then paper based.,0.31666666666666665,pos
Respondent 5,Male,28,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",no respose,0.0,neu
Respondent 6 ,Male,51,Coloured,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It i the use of effective technological software to understand and analyse data.,0.6,pos
Respondent 7,Female,36+,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is a quicker way and resourced way of finding information. Meaning learnershave access to learning resources in an easier way than the traditional one.,0.0,neu
Respondent 8,Female,30,African,4+,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","In my understanding digital transformation is the use of digital technology to create a better modify, already existing procedure. /process to meet the changes at school.",0.16666666666666666,pos
Respondent 9,Female,33,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation","It is the use of technology to improve efficiency, time constrian and increase productivity minimising human error.",0.0,neu
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It's increased exposure to learning and teaching material improved learning and teaching. Yes we have been introduced to programs like portal,telemolity.",0.0,neu
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"We are in the middle of a pendamic. This transformation will help limiting human contact, decrease human interaction and increase time spent learning not entirely but it is being introducing bit by bit.",-0.02,neg
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It is beneficial because most countries have started and it opens new doors for people and it develops the nations knowledge and economy. Yes it has, even though it has not yet fully transformed.",0.3181818181818182,pos
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Digital transfomation is beneficial beacause we're in the fourth industrial revolution meaning technology is taking over digital transformation is important in order to make people to be more familiar with technology appliances at devices. Yes, my has. ",0.2125,pos
Respondent 13,Female,29,African,3,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Very little digital transfomation has happened in our school, lack of resources does/ has not fully allowed for the transformation. It is beneficial as it beneficial as it enhances teaching and learning.",-0.12187500000000001,neg
Respondent 14,Female,48,African,20,Deputy Princal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,It is beneficial because it is part of an attempt to save the planet by cutting back on use of paper and reduces the need to travel thus lowering the carbon footprint.,-0.3,neg
Respondent 15,Female,40,African,12,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It is important because it increases and opens up learners critical thinking. Learners learn fast and understand technology. They learn ne things through visauls. Yes, but for grade 8 & 9 mathematics.",0.20000000000000004,pos
Respondent 16,Female,37,African,15,Teacher-HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"Yes, -workfast instead of writing down notes, you can demonstrate using data projector. -Accurate information captured.",0.12222222222222225,pos
