Respondents,Gender,Age,Race,Years of experience,Occupation,Section ,Section category,Question ,Answer
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",It is adoption of diof digital technology by organization use of technology in learning and teaching.
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It's increased exposure to learning and teaching material improved learning and teaching. Yes we have been introduced to programs like portal,telemolity."
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,n/a
Respondent 1,Female,51,African ,18+,Principal,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"Parents do not have money for the implementation of technology. Yes at school there is Wifi but computer are not enough for all the learners ,secondarly they do not have smartphones and access to wifi. Those who manage to have smartpones cannot use it at home due to lack of data."
Respondent 1,Female,51,African ,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Full access to Wifi- easy connection increase in number of computers of school minimum of 4/5 computer labs with 40 pc's. Smartphones for all learners (affordable ones) with zero rated simcard.
Respondent 1,Female,51,African ,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,I cannot say is successful due to lack of resources. Learners and educators cannot have access to technology.
Respondent 1,Female,51,African ,18+,Principal,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, learners are exposed to more knowledge, they can learn a lot by themselves able to do research."
Respondent 1,Female,51,African ,18+,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Willingness to learn 
Respondent 1,Female,51,African ,18+,Principal,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, because everybody will be exposed to alot information which will result in improvement in ones peformance and the school at large."
Respondent 1,Female,51,African ,18+,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, in a form of training through it is limited."
Respondent 1,Female,51,African ,18+,Principal,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Technology can help the school development because firstly, eduators will be exposed to a lot information which can be shared with learners. Secondarly, this teaching methods wll improve and accomodate learners who are more technologically inclied. Learners will also be exposed to alot of information and that will improve this performance. Both development of learners and educators will be enhanced by technology. "
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Digital transformation refers to conducting teaching and learning over the phone to limited human interaction.
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"We are in the middle of a pendamic. This transformation will help limiting human contact, decrease human interaction and increase time spent learning not entirely but it is being introducing bit by bit."
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,"Technology refers to techniques and devices that help in performance of dady to day activities at a shorter time and by helping us connect or be in contact with other faster, eg. smartphones, laptops."
Respondent 10,Female,43,African,10,African,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"No, many parents in one area are middle class workers. it is already a struggle to pay for transport  and to handle the school needs of their child, adding the of technology in one mix will only make making ends meet."
Respondent 10,Female,43,African,10,African,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,Conduct fundraising to purchase tools to enable everyone to be equiped so that digital transformation can be fully implemented
Respondent 10,Female,43,African,10,African,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It is because students are now getting used to learning over gadgets eg. cellphone and they gain 
Respondent 10,Female,43,African,10,African,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes, digital transformation teaches us to be indenpendent responsible and help us in growing our confidence and express our views and more."
Respondent 10,Female,43,African,10,African,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,"Funds to purchase equipment, training programmes for students and teachers and a safe space to be able to work in a conusive enviroment even though the school is in Township."
Respondent 10,Female,43,African,10,African,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,Yes.
Respondent 10,Female,43,African,10,African,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, A few years back there was a programme aimed at training pupils to develop their IT skills and understand the subject alot more."
Respondent 10,Female,43,African,10,African,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, when teachers are trained to be able to use current technology and with teachers and learners."
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",Changing the world by transforming the use of digital technology in our everyday lives.
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,why do you think digital transformation is beneficial? have your school introduced digital transformation? ,"It is beneficial because most countries have started and it opens new doors for people and it develops the nations knowledge and economy. Yes it has, even though it has not yet fully transformed."
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,What do you understand about technology? Please explain and give examples.,The use of electronics / gadgets in all forms of activities eg. ICT and IoT.
Respondent 11,Female,39,African,8,Teacher- HOD,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,Do you think parents have money in the area to vpay for implementation technology by schools? Please explain.,"In a way they can, since they able to maintain of wearing expensive brands and paying DSTV. It is all about priorities."
Respondent 11,Female,39,African,8,Teacher- HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,What is  your plan in terms of full  implementation of digital transformation,"Teach people about digital transformation, and introduce step by step to the people. Not forgetting awarenes through the media."
Respondent 11,Female,39,African,8,Teacher- HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say your school digital transformation is successful or not? Explain.,It is still building up. They have just introduced Robotics again and reflective learning. STEM clubs are also starting.
Respondent 11,Female,39,African,8,Teacher- HOD,B,Effectiveness of digital transformation on learning expierence of learners in the schools,Will you say the digital transformation is contributing towards learner's development? How.,"Yes it is, change in Maths marks are showing because of RL. More exposure to interactive sofwares for learning and digital learning plays a role in grasping the content."
Respondent 11,Female,39,African,8,Teacher- HOD,C,Level of digital skills needed by teachers in the schools for digital transformation,What is required from leaners and teachers to adapt to the digital transformation?,Teachers are suppose to include ICT use in their lesson plans. Learners through L and digital textbooks and also digital assessments and activities.
Respondent 11,Female,39,African,8,Teacher- HOD,C,Level of digital skills needed by teachers in the schools for digital transformation,Would you use technology help your school transformation if you have access to it?,"Yes, I would."
Respondent 11,Female,39,African,8,Teacher- HOD,D,Level of digital skills needed by teachers in the schools for digital transformation,"Has your department's basic education helped you with adapting and implementation of digital transformation in any way? For example, provision of training and development if yes, please explain. ","Yes, there ae workshops and trainings that are solely for digital transformation / use of ICT in learning and, coding and robotics."
Respondent 11,Female,39,African,8,Teacher- HOD,D,Level of digital skills needed by teachers in the schools for digital transformation,"Do you think technology can help your school development? How, please explain.","Yes, there is always a room for improvement. The more learners take change of their learning the more they will understand and be able to implement what they have been taught. We need more learners that are able to collaborate, creativeand critical thinkers."
Respondent 12,Male,37,African,5,Teacher,A,Adequacy of IT infrastructure to aid the use of the digital transformation in the schools,"In your own words, what do understand about digital transformation",I understand that digital tansformation is the innovation of technology to evolve value of a place.
